연도,시도,시군구,졸업자,진학자, 진학률 
2020,부산,동구,"1,030",745,72.3
2020,부산,영도구,"1,090",507,46.5
2020,부산,부산진구,"3,583","2,078",58
2020,부산,동래구,"3,427","2,570",75
2020,부산,남구,"2,742","1,511",55.1
2020,부산,북구,"2,160","1,927",89.2
2020,부산,해운대구,"3,398","1,930",56.8
2020,부산,사하구,"2,788","2,010",72.1
2020,부산,금정구,"2,765","1,764",63.8
2020,부산,강서구,788,641,81.3
2020,부산,연제구,927,601,64.8
2020,부산,수영구,"1,077",706,65.6
2020,부산,사상구,"1,021",753,73.8
2020,부산,기장군,"1,084",902,83.2
2020,대구,중구,"1,228",834,67.9
2020,대구,동구,"2,227","1,252",56.2
2020,대구,서구,"1,748","1,264",72.3
2020,대구,남구,"2,173","1,061",48.8
2020,대구,북구,"4,044","3,536",87.4
2020,대구,수성구,"5,723","4,134",72.2
2020,대구,달서구,"7,005","4,546",64.9
2020,대구,달성군,"1,443","1,202",83.3
2020,인천,중구,"2,749","1,337",48.6
2020,인천,동구,746,157,21
2020,인천,연수구,"4,089","2,450",59.9
2020,인천,미추홀구,"3,517","1,703",48.4
2020,인천,남동구,"4,136","3,182",76.9
2020,인천,부평구,"3,956","2,628",66.4
2020,인천,계양구,"2,739","2,101",76.7
2020,인천,서구,"5,047","3,352",66.4
2020,인천,강화군,537,363,67.6
2020,인천,옹진군,82,72,87.8
2020,광주,동구,"1,224","1,050",85.8
2020,광주,서구,"2,325","2,003",86.2
2020,광주,남구,"4,263","2,734",64.1
2020,광주,북구,"5,355","3,910",73
2020,광주,광산구,"4,456","3,091",69.4
2020,대전,동구,"2,248","1,317",58.6
2020,대전,중구,"3,806","2,267",59.6
2020,대전,서구,"4,621","3,878",83.9
2020,대전,유성구,"4,003","2,620",65.5
2020,대전,대덕구,"1,250",819,65.5
2020,울산,중구,"2,044","1,620",79.3
2020,울산,남구,"4,045","2,869",70.9
2020,울산,동구,"1,779","1,186",66.7
2020,울산,북구,"2,056","1,707",83
2020,울산,울주군,"2,540","1,476",58.1
2020,세종,세종시,"2,856","2,231",78.1
2020,경기,수원시,"13,527","8,416",62.2
2020,경기,성남시,"9,753","5,362",55
2020,경기,부천시,"7,522","4,793",63.7
2020,경기,안양시,"6,577","3,587",54.5
2020,경기,과천시,861,587,68.2
2020,경기,안산시,"8,046","4,873",60.6
2020,경기,용인시,"9,584","6,508",67.9
2020,경기,군포시,"2,508","1,661",66.2
2020,경기,의왕시,"1,276",894,70.1
2020,경기,시흥시,"4,656","3,184",68.4
2020,경기,평택시,"5,242","3,258",62.2
2020,경기,화성시,"6,321","4,654",73.6
2020,경기,오산시,"2,287","1,730",75.6
2020,경기,광명시,"3,124","2,255",72.2
2020,경기,광주시,"2,246","1,435",63.9
2020,경기,하남시,"1,640",963,58.7
2020,경기,김포시,"3,313","2,223",67.1
2020,경기,이천시,"2,306","1,340",58.1
2020,경기,안성시,"1,727","1,112",64.4
2020,경기,여주시,"1,048",600,57.3
2020,경기,양평군,"1,083",646,59.6
2020,경기,고양시,"10,792","6,720",62.3
2020,경기,남양주시,"6,510","4,567",70.2
2020,경기,구리시,"1,873","1,421",75.9
2020,경기,의정부시,"4,525","2,916",64.4
2020,경기,파주시,"4,202","2,802",66.7
2020,경기,동두천시,"1,012",597,59
2020,경기,양주시,"1,859","1,271",68.4
2020,경기,포천시,"1,331",881,66.2
2020,경기,가평군,573,373,65.1
2020,경기,연천군,340,178,52.4
2020,강원,춘천시,"3,042","1,897",62.4
2020,강원,원주시,"3,658","2,425",66.3
2020,강원,강릉시,"2,180","1,560",71.6
2020,강원,동해시,967,703,72.7
2020,강원,태백시,445,271,60.9
2020,강원,속초시,883,675,76.4
2020,강원,삼척시,534,405,75.8
2020,강원,홍천군,591,404,68.4
2020,강원,횡성군,451,355,78.7
2020,강원,영월군,339,212,62.5
2020,강원,평창군,291,225,77.3
2020,강원,정선군,308,193,62.7
2020,강원,철원군,416,340,81.7
2020,강원,화천군,163,100,61.3
2020,강원,양구군,282,217,77
2020,강원,인제군,212,182,85.8
2020,강원,고성군,176,81,46
2020,강원,양양군,171,126,73.7
2020,충북,청주시,"9,224","5,937",64.4
2020,충북,충주시,"2,082","1,241",59.6
2020,충북,제천시,"1,328",843,63.5
2020,충북,보은군,302,168,55.6
2020,충북,옥천군,385,271,70.4
2020,충북,영동군,382,222,58.1
2020,충북,진천군,751,464,61.8
2020,충북,괴산군,149,128,85.9
2020,충북,음성군,668,492,73.7
2020,충북,단양군,216,131,60.6
2020,충북,증평군,318,108,34
2020,충남,천안시,"7,234","4,666",64.5
2020,충남,공주시,"1,432",826,57.7
2020,충남,보령시,758,450,59.4
2020,충남,아산시,"3,136","2,383",76
2020,충남,서산시,"1,596","1,212",75.9
2020,충남,논산시,"1,534",856,55.8
2020,충남,계룡시,478,401,83.9
2020,충남,금산군,389,239,61.4
2020,충남,부여군,501,324,64.7
2020,충남,서천군,490,360,73.5
2020,충남,청양군,202,114,56.4
2020,충남,홍성군,962,729,75.8
2020,충남,예산군,813,525,64.6
2020,충남,태안군,449,305,67.9
2020,충남,당진시,"1,420","1,003",70.6
2020,전북,전주시,"8,216","6,173",75.1
2020,전북,군산시,"2,792","1,829",65.5
2020,전북,익산시,"3,493","2,271",65
2020,전북,정읍시,"1,207",887,73.5
2020,전북,남원시,857,584,68.1
2020,전북,김제시,750,392,52.3
2020,전북,완주군,886,490,55.3
2020,전북,진안군,181,61,33.7
2020,전북,무주군,219,180,82.2
2020,전북,장수군,179,125,69.8
2020,전북,임실군,144,67,46.5
2020,전북,순창군,217,184,84.8
2020,전북,고창군,714,371,52
2020,전북,부안군,483,319,66
2020,전남,목포시,"2,851","1,847",64.8
2020,전남,여수시,"3,019","1,901",63
2020,전남,순천시,"3,535","2,331",65.9
2020,전남,나주시,"1,099",655,59.6
2020,전남,광양시,"1,612","1,211",75.1
2020,전남,담양군,522,339,64.9
2020,전남,곡성군,297,184,62
2020,전남,구례군,164,96,58.5
2020,전남,고흥군,372,201,54
2020,전남,보성군,402,288,71.6
2020,전남,화순군,666,442,66.4
2020,전남,장흥군,298,176,59.1
2020,전남,강진군,291,153,52.6
2020,전남,해남군,512,210,41
2020,전남,영암군,482,346,71.8
2020,전남,무안군,751,648,86.3
2020,전남,함평군,358,264,73.7
2020,전남,영광군,540,302,55.9
2020,전남,장성군,431,230,53.4
2020,전남,완도군,323,205,63.5
2020,전남,진도군,251,164,65.3
2020,전남,신안군,181,91,50.3
2020,경북,포항시,"5,162","3,834",74.3
2020,경북,경주시,"2,504","1,318",52.6
2020,경북,김천시,"1,469",997,67.9
2020,경북,안동시,"1,740","1,292",74.3
2020,경북,구미시,"5,063","3,634",71.8
2020,경북,영주시,"1,200",909,75.8
2020,경북,영천시,784,557,71
2020,경북,상주시,"1,024",489,47.8
2020,경북,문경시,640,426,66.6
2020,경북,경산시,"2,304","1,881",81.6
2020,경북,군위군,115,99,86.1
2020,경북,의성군,215,149,69.3
2020,경북,청송군,119,99,83.2
2020,경북,영양군,113,96,85
2020,경북,영덕군,196,167,85.2
2020,경북,청도군,402,334,83.1
2020,경북,고령군,161,96,59.6
2020,경북,성주군,256,192,75
2020,경북,칠곡군,"1,026",907,88.4
2020,경북,예천군,260,239,91.9
2020,경북,봉화군,189,82,43.4
2020,경북,울진군,451,316,70.1
2020,경북,울릉군,31,0,0
2020,경남,창원시,"10,451","7,964",76.2
2020,경남,진주시,"4,004","2,855",71.3
2020,경남,통영시,"1,259","1,105",87.8
2020,경남,사천시,985,668,67.8
2020,경남,김해시,"5,806","4,565",78.6
2020,경남,밀양시,871,637,73.1
